,unique_id,indicator_id,name,measure,measure_info,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value
0,878150,386,Ozone (O3),Mean,ppb,CD,209,Parkchester and Soundview (CD9),Summer 2023,2023-06-01T00:00:00.000,33.96231918
1,874523,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,103,Lower East Side and Chinatown (CD3),Summer 2023,2023-06-01T00:00:00.000,9.17505874
2,874903,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,306,Park Slope and Carroll Gardens (CD6),Summer 2023,2023-06-01T00:00:00.000,9.21308071
3,874876,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,209,Parkchester and Soundview (CD9),Summer 2023,2023-06-01T00:00:00.000,9.278967207
4,878230,386,Ozone (O3),Mean,ppb,UHF42,211,Williamsburg - Bushwick,Summer 2023,2023-06-01T00:00:00.000,35.49941831
5,874822,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,401,Long Island City and Astoria (CD1),Summer 2023,2023-06-01T00:00:00.000,9.218834383
6,877131,375,Nitrogen dioxide (NO2),Mean,ppb,CD,202,Hunts Point and Longwood (CD2),Summer 2023,2023-06-01T00:00:00.000,15.26199906
7,876903,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,208,Canarsie - Flatlands,Summer 2023,2023-06-01T00:00:00.000,12.24185059
8,876855,375,Nitrogen dioxide (NO2),Mean,ppb,Borough,4,Queens,Summer 2023,2023-06-01T00:00:00.000,11.54967618
9,874840,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,407,Flushing and Whitestone (CD7),Summer 2023,2023-06-01T00:00:00.000,8.911945787
10,878238,386,Ozone (O3),Mean,ppb,UHF42,203,Bedford Stuyvesant - Crown Heights,Summer 2023,2023-06-01T00:00:00.000,36.15812507
11,878164,386,Ozone (O3),Mean,ppb,CD,107,Upper West Side (CD7),Summer 2023,2023-06-01T00:00:00.000,29.73775761
12,876972,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,410,Rockaways,Summer 2023,2023-06-01T00:00:00.000,6.471941886
13,877044,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,401,Long Island City - Astoria,Summer 2023,2023-06-01T00:00:00.000,15.48445494
14,878135,386,Ozone (O3),Mean,ppb,CD,405,Ridgewood and Maspeth (CD5),Summer 2023,2023-06-01T00:00:00.000,35.46425332
15,874888,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,301,Greenpoint and Williamsburg (CD1),Summer 2023,2023-06-01T00:00:00.000,9.515876207
16,874593,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,202,Hunts Point and Longwood (CD2),Summer 2023,2023-06-01T00:00:00.000,9.725961313
17,877029,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,211,Williamsburg - Bushwick,Summer 2023,2023-06-01T00:00:00.000,12.91683936
18,878151,386,Ozone (O3),Mean,ppb,CD,208,Riverdale and Fieldston (CD8),Summer 2023,2023-06-01T00:00:00.000,29.62674459
19,876930,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,306,Chelsea - Clinton,Summer 2023,2023-06-01T00:00:00.000,21.23435622
20,877065,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,410,Rockaways,Summer 2023,2023-06-01T00:00:00.000,6.471941886
21,878218,386,Ozone (O3),Mean,ppb,UHF42,402,West Queens,Summer 2023,2023-06-01T00:00:00.000,34.3659895
22,874861,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,414,Rockaway and Broad Channel (CD14),Summer 2023,2023-06-01T00:00:00.000,8.147909572
23,878236,386,Ozone (O3),Mean,ppb,UHF42,205,Sunset Park,Summer 2023,2023-06-01T00:00:00.000,34.50967942
24,878129,386,Ozone (O3),Mean,ppb,CD,317,East Flatbush (CD17),Summer 2023,2023-06-01T00:00:00.000,37.1586567
